Barcode,Genotype,Assay Date,Experimenter,Flow Cytometer,Total Events (RBC),NCE,RETs_CD71postive,Per_RETs,Mn-RET,Mn_NCE,Per_MN-NCE
M00226962,Sparc/Sparc,2009-11-05,RM,FC500,1.61E+05,1.57E+05,3828,2.44,32,306,0.19
M00226963,Sparc/Sparc,2009-11-05,RM,FC500,1.71E+05,1.65E+05,4936,2.98,27,349,0.21
M00288606,Stard5/Stard5,2009-11-05,RM,FC500,1.75E+05,1.70E+05,4242,2.5,13,338,0.2
M00288605,Stard5/Stard5,2009-11-05,RM,FC500,1.72E+05,1.67E+05,5189,3.11,23,333,0.2
M00288612,Stard5/Stard5,2009-11-05,RM,FC500,1.71E+05,1.67E+05,3826,2.3,25,341,0.2
M00288611,Stard5/Stard5,2009-11-05,RM,FC500,1.70E+05,1.66E+05,3400,2.05,22,372,0.22
M00285909,Zzz3/+,2009-11-05,RM,FC500,1.71E+05,1.66E+05,3984,2.4,25,466,0.28
M00285908,Zzz3/+,2009-11-05,RM,FC500,1.53E+05,1.48E+05,4729,3.19,144,431,0.29
M00295111,2310046K01Rik/+,2009-11-09,RM,FC500,1.65E+05,1.62E+05,2119,1.31,19,308,0.19
M00295110,2310046K01Rik/+,2009-11-09,RM,FC500,1.61E+05,1.59E+05,2320,1.46,16,324,0.2
M00295109,2310046K01Rik/+,2009-11-09,RM,FC500,1.52E+05,1.50E+05,2039,1.36,28,325,0.22
M00295112,2310046K01Rik/+,2009-11-09,RM,FC500,1.56E+05,1.52E+05,3990,2.63,43,337,0.22
M00289295,2310046K01Rik/+,2009-11-09,RM,FC500,1.63E+05,1.59E+05,3249,2.04,20,318,0.2
M00289293,2310046K01Rik/+,2009-11-09,RM,FC500,1.70E+05,1.66E+05,3256,1.96,19,339,0.2
M00289294,2310046K01Rik/+,2009-11-09,RM,FC500,1.64E+05,1.61E+05,2660,1.66,19,356,0.22
M00303248,Ampd3/Ampd3,2009-11-09,RM,FC500,1.49E+05,1.44E+05,4760,3.31,57,366,0.25
M00303247,Ampd3/Ampd3,2009-11-09,RM,FC500,1.49E+05,1.43E+05,5531,3.86,44,373,0.26
M00303249,Ampd3/Ampd3,2009-11-09,RM,FC500,1.59E+05,1.50E+05,7679,5.11,78,463,0.31
M00276243,Bbx/Bbx,2009-11-09,RM,FC500,1.48E+05,1.45E+05,3619,2.5,31,327,0.23
M00276246,Bbx/Bbx,2009-11-09,RM,FC500,1.62E+05,1.58E+05,3538,2.24,25,363,0.23
M00276247,Bbx/Bbx,2009-11-09,RM,FC500,1.49E+05,1.45E+05,3940,2.73,41,366,0.25
M00281219,Dhcr24/+,2009-11-09,RM,FC500,1.73E+05,1.65E+05,7502,4.55,36,394,0.24
M00281217,Dhcr24/+,2009-11-09,RM,FC500,1.78E+05,1.73E+05,4817,2.79,43,423,0.24
M00281218,Dhcr24/+,2009-11-09,RM,FC500,1.70E+05,1.62E+05,6837,4.21,53,461,0.28
M00275544,Efna1/Efna1,2009-11-09,RM,FC500,1.61E+05,1.58E+05,2280,1.44,29,336,0.21
M00275543,Efna1/Efna1,2009-11-09,RM,FC500,1.58E+05,1.55E+05,2730,1.76,17,336,0.22
M00275542,Efna1/Efna1,2009-11-09,RM,FC500,1.63E+05,1.59E+05,3483,2.19,28,394,0.25
M00307388,Gmnn/+,2009-11-09,RM,FC500,1.59E+05,1.56E+05,2605,1.67,50,361,0.23
M00300472,Gmnn/+,2009-11-09,RM,FC500,1.66E+05,1.63E+05,2429,1.49,26,345,0.21
M00300471,Gmnn/+,2009-11-09,RM,FC500,1.66E+05,1.63E+05,2565,1.58,51,359,0.22
M00300464,Gmnn/+,2009-11-09,RM,FC500,1.60E+05,1.57E+05,2346,1.5,40,380,0.24
M00286415,Grin2a/Grin2a,2009-11-09,RM,FC500,1.48E+05,1.45E+05,2807,1.93,16,302,0.21
M00286414,Grin2a/Grin2a,2009-11-09,RM,FC500,1.56E+05,1.50E+05,5079,3.38,30,329,0.22
M00286416,Grin2a/Grin2a,2009-11-09,RM,FC500,1.48E+05,1.45E+05,2363,1.62,22,337,0.23
M00266602,Jarid2/+,2009-11-09,RM,FC500,1.63E+05,1.61E+05,2118,1.32,14,307,0.19
M00266601,Jarid2/+,2009-11-09,RM,FC500,1.65E+05,1.60E+05,3954,2.47,19,327,0.2
M00295189,Lrrc16a/Lrrc16a,2009-11-09,RM,FC500,1.66E+05,1.60E+05,5112,3.2,32,390,0.24
M00295191,Lrrc16a/Lrrc16a,2009-11-09,RM,FC500,1.65E+05,1.58E+05,6967,4.42,77,423,0.27
M00295190,Lrrc16a/Lrrc16a,2009-11-09,RM,FC500,1.66E+05,1.39E+05,26579,19.15,180,392,0.28
